,location_lat,location_long,ground_speed,heading,week,weekday,eobs_temperature,eobs_activity,eobs_speed_accuracy_estimate
count,564697.0,564697.0,541094.0,541094.0,567824.0,567824.0,544219.0,23605.0,541094.0
mean,45.40875983721803,5.121548496199611,1.212643514806577,105.15037487016524,28.85743469807546,3.9983903463044888,18.948673236325817,18.566108875238296,0.36527655083955196
std,3.352106183312361,5.057872423781524,3.27283342895513,125.58072412305962,10.105084570074434,2.0051132495785535,9.943133394286123,13.524275824082189,0.2951211781302285
min,37.0320714,-6.4975171,0.0,0.0,1.0,1.0,-11.0,4.0,0.08
25%,42.0617133,0.9514482,0.04,0.0,22.0,2.0,12.0,10.0,0.22
50%,47.7510387,8.5589127,0.14,19.66,32.0,4.0,17.0,15.0,0.28
75%,47.9081156,8.5783058,0.41,216.92,34.0,6.0,24.0,23.0,0.4
max,50.3427238,13.3408449,94.53,359.79,53.0,7.0,65.0,168.0,12.22
